product_id,product_name,product_category,brand,storage_type,unit_cost,unit_sell_price,active_status,,,
P-001,Yoghurt Drink 250ml,Dairy,Meadow Valley,Chilled,$3.31,$6.03,Active,,,
P-002,Greek Yoghurt 500g,Dairy,SouthPeak,Chilled,$2.01,$3.65,Active,,,
P-003,Butter 500g,Dairy,Meadow Valley,Chilled,$3.43,$5.99,,,,
P-004,Cheese Slices 250g,Dairy,Meadow Valley,Chilled,$1.30,$2.03,Discontinued,,,
P-005,Milk 2L,Dairy,KiwiFresh,Chilled,$2.87,$4.97,,,,
P-006,Cream 300ml,Dairy,Alpine Co,Chilled,$3.56,$5.55,Active,,,
P-007,Custard 600g,Dairy,KiwiFresh,Chilled,$3.14,$5.74,Active,,,
P-008,Orange Juice 1L,Chilled Drinks,Alpine Co,Chilled,$1.48,$2.40,Active,,,
P-009,Kombucha 330ml,Chilled Drinks,Harbour Foods,Chilled,$1.47,$2.21,Active,,,
P-010,Iced Coffee 350ml,Chilled Drinks,Harbour Foods,Chilled,$2.14,$1.71,Active,,,
P-011,Smoothie Berry 300ml,Chilled Drinks,KiwiFresh,Chilled,$2.81,$5.10,Active,,,
P-012,Sparkling Lemonade 750ml,Chilled Drinks,Alpine Co,Chilled,$2.61,$3.89,Active,,,
P-013,Oat Milk 1L,Chilled Drinks,Harbour Foods,Chilled,$1.88,$3.27,Active,,,
P-014,Protein Bar Choc 60g,Protein Bars,KiwiFresh,Ambient,$3.40,$6.05,Active,,,
P-015,Protein Bar Peanut 60g,Protein Bars,Meadow Valley,Ambient,$3.59,$6.74,Discontinued,,,
P-016,Protein Bites 120g,Protein Bars,,Ambient,$3.84,$6.10,Active,,,
P-017,Muesli Bar 6pk,Protein Bars,Harbour Foods,Ambient,$3.22,$4.93,Active,,,
P-018,Nut Bar Almond 45g,Protein Bars,,Ambient,$2.46,$4.43,Active,,,
P-019,Energy Bar Cacao 50g,Protein Bars,Meadow Valley,Ambient,$3.35,$5.88,Active,,, 
P-020,Butter Chicken 400g,Frozen Meals,GoodGrain,Frozen,$4.11,$6.30,Active,,,
P-021,Lasagne 400g,Frozen Meals,GoodGrain,Frozen,$5.47,$9.80,Active,,,
P-022,Veg Curry 350g,Frozen Meals,KiwiFresh,Frozen,$8.48,$13.27,,,,
P-023,Fish Pie 450g,Frozen Meals,Harbour Foods,Frozen,$3.21,$5.30,Active,,,
P-024,Dumplings 500g,Frozen Meals,Harbour Foods,Frozen,$3.43,$5.34,Active,,,
P-025,Pad Thai 400g,Frozen Meals,SunBasket,Frozen,$6.25,$9.51,Active,,,
P-026,Snack Box Kids,Snacks,PureNZ,Ambient,$1.18,$2.15,Active,,,
P-027,Corn Chips 150g,Snacks,Alpine Co,Ambient,$1.96,$3.20,Active,,,
P-028,Rice Crackers 100g,Snacks,SouthPeak,Ambient,$3.49,$5.95,Active,,,
P-029,Trail Mix 200g,Snacks,KiwiFresh,Ambient,$1.05,$1.97,Active,,,
P-030,Popcorn Sea Salt 80g,Snacks,SouthPeak,Ambient,$1.21,$2.23,Active,,,
P-031,Veggie Chips 90g,Snacks,Meadow Valley,Ambient,$1.94,$3.19,Active,,,
P-032,Pretzels 120g,Snacks,SunBasket,Ambient,$2.41,$4.13,Active,,,
P-033,Tomato Sauce 500ml,Sauces,,Ambient,$4.69,$8.40,Active,,,
P-034,Sweet Chilli 300ml,Sauces,PureNZ,Ambient,$1.52,$2.79,Active,,,
P-035,Aioli 250ml,Sauces,PureNZ,Ambient,$2.36,$3.94,Active,,,
P-036,BBQ Sauce 500ml,Sauces,PureNZ,Ambient,$2.78,$5.38,Active,,,
P-037,Pasta Sauce 400g,Sauces,Meadow Valley,Ambient,$3.92,$7.39,Active,,,
P-038,Soy Sauce 250ml,Sauces,GoodGrain,Ambient,$2.20,$3.36,Active,,,
P-039,Pasta Penne 500g,Packaged,KiwiFresh,Ambient,$4.12,$7.21,Active,,,
P-040,Basmati Rice 1kg,Packaged,Meadow Valley,Ambient,$3.11,$5.95,Active,,,
P-041,Chickpeas Can 400g,Packaged,PureNZ,Ambient,$4.55,$7.14,Discontinued,,,
P-042,Oats 750g,Packaged,Meadow Valley,Ambient,$2.19,$3.27,Active,,,
P-043,Crackers Water 125g,Packaged,Meadow Valley,Ambient,$3.10,$6.01,Active,,,
P-044,Soup Pumpkin 400g,Packaged,SouthPeak,Ambient,$3.27,$4.95,Active,,,
P-045,Noodles 5pk,Packaged,SouthPeak,Ambient,$3.06,$4.84,Active,,,
P-046,Protein Powder 1kg,Health,Alpine Co,Ambient,$6.80,$13.14,Discontinued,,,
P-047,Chia Seeds 300g,Health,GoodGrain,Ambient,$7.11,$12.84,Active,,,
P-048,Almond Butter 250g,Health,Harbour Foods,Ambient,$4.19,$6.99,Active,,,
P-049,Granola 450g,Health,Meadow Valley,Ambient,$4.85,$7.63,Active,,,
P-050,Kombucha Starter Kit,Health,KiwiFresh,Ambient,$2.35,$4.10,Active,,,
P-051,Collagen Powder 200g,Health,GoodGrain,Ambient,$3.27,$4.75,Active,,,
